Movie title ,Genre,Year,Rating ,Box office ,Duration 
"The Good, the Bad and the Ugly ",Western,1966,9,38.9,161
Deadpool,Comedy,2016,8,782.6,108
Guardians of the Galaxy ,Sci-Fi,2014,8,773.4,122
Thor,Fantasy,2011,7,449.3,114
Transformers ,Sci-Fi,2007,7,709.7,143
Pirates of the Caribbean: The Curse of the Black Pearl,Adventure,2003,10,654.3,143
Hercules ,Musical,1997,8,252.7,93
The Lord of the Rings: The Fellowship of the Ring,Fantasy,2001,9,887.8,178
Thor: Ragnarok,Sci-Fi,2017,8,855,130
Aladdin ,Musical,1992,8,504.1,90
Grease,Musical,1978,8,396.3,110
Pirates of the Caribbean: Dead Man's Chest,Adventure,2006,9,1066,151
Pirates of the Caribbean: At World's End,Adventure,2007,8,963.4,168
The Cat Returns,Fantasy,2002,9,65,75
Ocean's Eleven,Comedy,2001,8,450.7,116
X-Men: Apocalypse,Fantasy,2016,7,543.9,144
Truth and Justice ,Drama,2019,8,2.5,165
Snow White ,Fantasy,2025,2,205.7,109
Tangerines,Drama,2013,8,1,87
The Hobbit: The Battle of the Five Armies,Fantasy,2014,8,962.2,144
Smokey and the Bandit,Comedy,1977,7,127,96
Sissi,Romance ,1955,7,5.4,102
The Lone Ranger ,Western,2013,7,260.5,149
The Magnificent Seven,Western,2016,7,162.4,133
